2;1,464295
3;0,001743
4;0,000414
5;1,460697
6;0,000479
7;0,000541
8;0,000470
9;0,000507
10;0,005994
11;0,000563
12;0,000657
13;0,000831
14;0,000546
15;0,000826
16;0,007539
2;1,451049
3;0,001720
4;0,000508
5;1,460885
6;0,000507
7;0,000535
8;0,000504
9;0,000508
10;0,000594
11;0,000472
12;0,000754
13;0,000740
14;0,000538
15;0,000708
16;0,006371
2;1,448698
3;0,001721
4;0,000446
5;1,510749
6;0,000483
7;0,000514
8;0,000570
9;0,000561
10;0,000569
11;0,000550
12;0,000736
13;0,000641
14;0,009738
15;0,006457
16;0,000462
2;1,448292
3;0,001767
4;0,000470
5;1,460752
6;0,000540
7;0,000532
8;0,000473
9;0,000543
10;0,000702
11;0,000536
12;0,000737
13;0,000849
14;0,000677
15;0,000581
16;0,000499
2;1,457916
3;0,001801
4;0,000543
5;1,480200
6;0,000525
7;0,000632
8;0,000473
9;0,000562
10;0,000580
11;0,000472
12;0,000681
13;0,000593
14;0,005675
15;0,000705
16;0,000645
2;1,448044
3;0,001751
4;0,000518
5;1,463657
6;0,000504
7;0,000494
8;0,000434
9;0,000550
10;0,000582
11;0,000609
12;0,000628
13;0,000730
14;0,000642
15;0,006666
16;0,007989
2;1,461750
3;0,001812
4;0,000508
5;1,482262
6;0,000480
7;0,000516
8;0,000520
9;0,000600
10;0,000574
11;0,000544
12;0,000790
13;0,006040
14;0,000581
15;0,005900
16;0,000422
2;1,513114
3;0,001789
4;0,000440
5;1,449916
6;0,000471
7;0,000524
8;0,000492
9;0,000551
10;0,000602
11;0,000579
12;0,000723
13;0,000644
14;0,009095
15;0,000655
16;0,008261
2;1,457291
3;0,001706
4;0,000472
5;1,480244
6;0,000526
7;0,000504
8;0,000512
9;0,000530
10;0,000694
11;0,000692
12;0,000729
13;0,000691
14;0,006930
15;0,000611
16;0,012668
2;1,456305
3;0,001852
4;0,000512
5;1,464617
6;0,000468
7;0,000497
8;0,000555
9;0,000644
10;0,000521
11;0,000502
12;0,000591
13;0,000856
14;0,007839
15;0,006735
16;0,007563
